1 15 #
12 25 2419.354838709677 1681.8181818181822
12 25 2419.354838709677 1300.3246753246754
12 25 2419.354838709677 1121.753246753247
12 25 2404.8387096774195 951.2987012987014
12 25 2350.4032258064517 667.2077922077922
12 25 2270.564516129032 439.935064935065
12 25 2150.8064516129034 318.1818181818182
12 25 2045.5645161290322 245.1298701298702
12 25 1936.6935483870968 172.0779220779221
12 25 1867.741935483871 147.7272727272728
12 25 1795.1612903225807 131.49350649350657
13 23 #
13 23 1849.5967741935483 123.3766233766234
13 23 1954.8387096774193 228.89610389610397
13 23 2074.5967741935483 358.7662337662338
13 23 2165.322580645161 667.2077922077922
13 23 2208.8709677419356 1048.7012987012988
13 23 2216.1290322580644 1413.961038961039
13 23 2216.1290322580644 2006.4935064935069
13 23 2216.1290322580644 2412.337662337663
13 23 2216.1290322580644 2672.0779220779227
13 23 2299.5967741935483 2785.7142857142862
13 23 2419.354838709677 2769.48051948052
13 23 2462.9032258064517 2582.7922077922085
13 23 2462.9032258064517 2225.649350649351
13 23 2466.532258064516 1982.1428571428576
13 23 2477.4193548387098 1633.1168831168832
13 23 2462.9032258064517 1284.0909090909092
13 23 2462.9032258064517 926.9480519480521
13 23 2412.0967741935483 659.0909090909092
13 23 2292.3387096774195 464.2857142857144
13 23 2172.5806451612902 326.29870129870136
13 23 2056.451612903226 220.7792207792208
13 23 1947.5806451612902 147.7272727272728
13 23 1849.5967741935483 107.14285714285717
14 26 #
14 26 1958.467741935484 220.7792207792208
14 26 2085.483870967742 350.64935064935077
14 26 2176.209677419355 561.6883116883118
14 26 2208.8709677419356 732.1428571428571
14 26 2208.8709677419356 1008.1168831168832
14 26 2223.3870967741937 1422.0779220779223
14 26 2208.8709677419356 1819.805194805195
14 26 2208.8709677419356 2160.7142857142862
14 26 2208.8709677419356 2323.0519480519483
14 26 2208.8709677419356 2582.7922077922085
14 26 2274.1935483870966 2745.1298701298706
14 26 2368.548387096774 2728.8961038961043
14 26 2415.7258064516127 2582.7922077922085
14 26 2433.8709677419356 2347.402597402598
14 26 2433.8709677419356 2079.545454545455
14 26 2433.8709677419356 1730.5194805194808
14 26 2448.3870967741937 1470.7792207792209
14 26 2448.3870967741937 1267.857142857143
14 26 2430.241935483871 1073.051948051948
14 26 2426.612903225807 870.1298701298701
14 26 2397.5806451612902 618.5064935064936
14 26 2328.6290322580644 480.5194805194806
14 26 2230.645161290323 407.4675324675325
14 26 2121.7741935483873 269.4805194805195
14 26 2002.016129032258 196.4285714285715
14 26 1954.8387096774193 228.89610389610397
15 24 #
15 24 1958.467741935484 172.0779220779221
15 24 2056.451612903226 269.4805194805195
15 24 2136.290322580645 448.05194805194816
15 24 2197.983870967742 724.0259740259742
15 24 2227.016129032258 951.2987012987014
15 24 2266.935483870968 1454.5454545454547
15 24 2266.935483870968 2103.8961038961043
15 24 2266.935483870968 2444.8051948051952
15 24 2266.935483870968 2647.7272727272734
15 24 2303.2258064516127 2769.48051948052
15 24 2433.8709677419356 2801.9480519480526
15 24 2495.564516129032 2663.9610389610393
15 24 2520.967741935484 2412.337662337663
15 24 2520.967741935484 1933.4415584415585
15 24 2531.854838709677 1706.1688311688315
15 24 2535.483870967742 1332.7922077922078
15 24 2528.2258064516127 1081.1688311688313
15 24 2484.677419354839 756.4935064935066
15 24 2433.8709677419356 586.0389610389611
15 24 2354.032258064516 439.935064935065
15 24 2266.935483870968 358.7662337662338
15 24 2139.9193548387098 301.94805194805195
15 24 2060.0806451612902 212.66233766233773
15 24 1972.983870967742 172.0779220779221
16 24 #
16 24 1972.983870967742 212.66233766233773
16 24 2110.8870967741937 342.5324675324676
16 24 2212.5 618.5064935064936
16 24 2277.822580645161 943.1818181818182
16 24 2281.451612903226 1373.3766233766235
16 24 2277.822580645161 1698.051948051948
16 24 2277.822580645161 2022.7272727272727
16 24 2274.1935483870966 2428.571428571429
16 24 2274.1935483870966 2623.3766233766237
16 24 2335.8870967741937 2785.7142857142862
16 24 2441.1290322580644 2826.298701298702
16 24 2499.1935483870966 2720.7792207792213
16 24 2499.1935483870966 2339.2857142857147
16 24 2499.1935483870966 1957.7922077922078
16 24 2506.451612903226 1657.4675324675325
16 24 2506.451612903226 1446.4285714285716
16 24 2495.564516129032 1170.4545454545455
16 24 2481.048387096774 829.5454545454545
16 24 2433.8709677419356 626.6233766233768
16 24 2357.6612903225805 480.5194805194806
16 24 2248.790322580645 310.0649350649351
16 24 2103.6290322580644 196.4285714285715
16 24 1998.3870967741937 188.31168831168833
16 24 1969.3548387096776 220.7792207792208
17 20 #
17 20 1980.241935483871 196.4285714285715
17 20 2100.0 326.29870129870136
17 20 2154.435483870968 545.4545454545455
17 20 2183.467741935484 837.6623376623377
17 20 2190.7258064516127 1381.4935064935066
17 20 2208.8709677419356 1827.922077922078
17 20 2208.8709677419356 2298.701298701299
17 20 2237.9032258064517 2590.9090909090914
17 20 2325.0 2810.0649350649355
17 20 2473.790322580645 2777.5974025974033
17 20 2473.790322580645 2290.584415584416
17 20 2477.4193548387098 1868.5064935064936
17 20 2473.790322580645 1470.7792207792209
17 20 2473.790322580645 1154.2207792207794
17 20 2459.2741935483873 837.6623376623377
17 20 2397.5806451612902 618.5064935064936
17 20 2317.741935483871 521.1038961038962
17 20 2208.8709677419356 407.4675324675325
17 20 2114.516129032258 293.8311688311689
17 20 1980.241935483871 196.4285714285715
18 23 #
18 23 1878.6290322580644 163.96103896103904
18 23 1998.3870967741937 261.36363636363643
18 23 2096.3709677419356 415.5844155844157
18 23 2110.8870967741937 561.6883116883118
18 23 2139.9193548387098 756.4935064935066
18 23 2139.9193548387098 1024.3506493506495
18 23 2139.9193548387098 1324.6753246753249
18 23 2143.548387096774 1641.2337662337666
18 23 2158.064516129032 2128.2467532467535
18 23 2190.7258064516127 2509.74025974026
18 23 2266.935483870968 2761.363636363637
18 23 2364.9193548387098 2704.545454545455
18 23 2404.8387096774195 2347.402597402598
18 23 2408.467741935484 1965.9090909090912
18 23 2433.8709677419356 1535.7142857142858
18 23 2433.8709677419356 1162.3376623376626
18 23 2433.8709677419356 951.2987012987014
18 23 2397.5806451612902 618.5064935064936
18 23 2325.0 456.1688311688312
18 23 2201.612903225807 318.1818181818182
18 23 2096.3709677419356 237.01298701298703
18 23 1987.5 180.19480519480527
18 23 1878.6290322580644 172.0779220779221
19 24 #
19 24 1689.9193548387098 219.69696969696963
19 24 1820.5645161290322 475.37878787878776
19 24 1864.1129032258063 740.530303030303
19 24 1896.774193548387 1005.681818181818
19 24 1929.4354838709678 1469.6969696969695
19 24 1983.8709677419356 2113.6363636363635
19 24 1991.1290322580646 2445.0757575757575
19 24 2002.016129032258 2852.272727272727
19 24 2002.016129032258 3098.484848484848
19 24 2027.4193548387098 3316.2878787878785
19 24 2223.3870967741937 3325.7575757575755
19 24 2383.064516129032 3306.8181818181815
19 24 2415.7258064516127 3079.545454545454
19 24 2364.9193548387098 2634.4696969696965
19 24 2364.9193548387098 2378.7878787878785
19 24 2343.145161290323 2075.7575757575755
19 24 2288.709677419355 1772.7272727272725
19 24 2266.935483870968 1422.3484848484848
19 24 2219.758064516129 1034.090909090909
19 24 2161.6935483870966 778.4090909090908
19 24 2049.1935483870966 607.9545454545453
19 24 1925.8064516129034 484.84848484848476
19 24 1820.5645161290322 342.80303030303025
19 24 1689.9193548387098 210.22727272727263
20 23 #
20 23 1726.2096774193549 172.34848484848476
20 23 1860.483870967742 390.151515151515
20 23 1940.3225806451612 607.9545454545453
20 23 1991.1290322580646 910.9848484848483
20 23 2005.6451612903227 1232.9545454545453
20 23 2009.274193548387 1611.742424242424
20 23 2020.1612903225807 2151.515151515151
20 23 2023.7903225806451 2672.3484848484845
20 23 2023.7903225806451 3041.6666666666665
20 23 2023.7903225806451 3240.5303030303025
20 23 2121.7741935483873 3325.7575757575755
20 23 2281.451612903226 3325.7575757575755
20 23 2325.0 3070.075757575757
20 23 2321.3709677419356 2643.9393939393935
20 23 2292.3387096774195 2208.333333333333
20 23 2292.3387096774195 1829.5454545454545
20 23 2281.451612903226 1393.9393939393938
20 23 2256.048387096774 977.272727272727
20 23 2201.612903225807 750.0
20 23 2081.8548387096776 522.7272727272726
20 23 1933.0645161290322 295.4545454545454
20 23 1802.4193548387098 181.81818181818176
20 23 1726.2096774193549 162.87878787878776
21 22 #
21 22 1806.0483870967741 229.16666666666663
21 22 1922.1774193548388 456.4393939393939
21 22 1991.1290322580646 759.4696969696968
21 22 2016.532258064516 1157.1969696969695
21 22 2034.6774193548388 1734.8484848484845
21 22 2027.4193548387098 2359.8484848484845
21 22 2034.6774193548388 2946.9696969696965
21 22 2034.6774193548388 3221.5909090909086
21 22 2067.3387096774195 3392.045454545454
21 22 2285.0806451612902 3392.045454545454
21 22 2379.435483870968 3335.2272727272725
21 22 2379.435483870968 3032.1969696969695
21 22 2350.4032258064517 2359.8484848484845
21 22 2350.4032258064517 2075.7575757575755
21 22 2350.4032258064517 1791.6666666666665
21 22 2335.8870967741937 1602.272727272727
21 22 2314.112903225807 1214.0151515151513
21 22 2248.790322580645 816.2878787878788
21 22 2161.6935483870966 598.4848484848485
21 22 2027.4193548387098 352.27272727272725
21 22 1893.1451612903224 238.6363636363635
21 22 1809.6774193548388 219.69696969696963
22 27 1784.2741935483873 143.93939393939388
22 27 1904.032258064516 267.0454545454545
22 27 1998.3870967741937 418.560606060606
22 27 2052.822580645161 589.0151515151515
22 27 2074.5967741935483 721.590909090909
22 27 2118.145161290323 986.742424242424
22 27 2136.290322580645 1441.2878787878785
22 27 2172.5806451612902 1867.424242424242
22 27 2161.6935483870966 2303.030303030303
22 27 2161.6935483870966 2776.515151515151
22 27 2165.322580645161 3070.075757575757
