#Source #Energy	#Relative
152Eu	121.8	1.655
152Eu	244.7	1.287
152Eu	344.3	1.149
152Eu	778.9	0.728
152Eu	964.1	0.653
152Eu	1112.1	0.602
152Eu	1408	0.511
56Co	846.8	2.010
56Co	1037.8	1.838
56Co	1238.3	1.621
56Co	1771.3	1.246
56Co	2598.4	0.891
56Co	3201.9	0.710
56Co	3253.4	0.718
56Co	3272.98	0.686
56Co	3451.1	0.702
