1 12 #
8 15 #
8 15 1428.296370967742 622.6704545454544
8 15 1494.344758064516 822.1022727272726
8 15 1560.3931451612902 1165.568181818182
8 15 1642.953629032258 1520.1136363636365
8 15 1725.5141129032259 1918.977272727273
8 15 1766.7943548387098 2251.3636363636365
8 15 1816.3306451612902 2506.193181818182
8 15 1890.635080645161 2783.1818181818185
8 15 2064.0120967741937 2417.5568181818185
8 15 1956.6834677419356 2051.9318181818185
8 15 1907.1471774193546 1597.6704545454545
8 15 1758.5383064516127 1021.5340909090909
8 15 1700.7459677419356 611.5909090909091
8 15 1527.368951612903 511.8749999999999
8 15 1436.5524193548385 578.3522727272726
9 22 #
9 22 2009.576612903226 204.54545454545456
9 22 2087.7016129032263 245.1298701298702
9 22 2143.145161290323 301.94805194805195
9 22 2221.270161290323 375.00000000000006
9 22 2294.3548387096776 537.3376623376623
9 22 2344.7580645161293 594.1558441558443
9 22 2377.520161290323 732.1428571428571
9 22 2427.9233870967746 886.3636363636365
9 22 2561.491935483871 951.2987012987014
9 22 2707.661290322581 975.6493506493507
9 22 2846.270161290323 951.2987012987014
9 22 2886.592741935484 813.3116883116884
9 22 2823.5887096774195 667.2077922077922
9 22 2690.020161290323 545.4545454545455
9 22 2561.491935483871 318.1818181818182
9 22 2445.5645161290327 204.54545454545456
9 22 2269.1532258064517 123.3766233766234
9 22 2087.7016129032263 99.02597402597411
9 22 2007.0564516129034 74.6753246753247
9 22 1956.653225806452 74.6753246753247
9 22 1918.8508064516132 115.25974025974034
9 22 2012.0967741935488 196.4285714285715
10 23 #
10 23 2092.741935483871 204.54545454545456
10 23 2185.987903225807 285.7142857142857
10 23 2281.754032258065 358.7662337662338
10 23 2359.879032258065 504.8701298701299
10 23 2420.362903225807 642.8571428571429
10 23 2460.685483870968 788.9610389610391
10 23 2488.4072580645166 1032.4675324675325
10 23 2511.0887096774195 1211.0389610389611
10 23 2548.8911290322585 1413.961038961039
10 23 2642.137096774194 1535.7142857142858
